AUROC|AUPRC|Accuracy|F-measure|Utility
0.838605973881998|0.12752288063100353|0.8560219310979166|0.1356941252679797|0.41944584454064543
AUROC|AUPRC|Accuracy|F-measure|Utility
0.8239690858503146|0.10334943262653909|0.845476799934991|0.12889741460761014|0.39914077689796335
AUROC|AUPRC|Accuracy|F-measure|Utility
0.8278241847692569|0.11056903942833382|0.8511216789530655|0.12990945613719493|0.40000746317390135
AUROC|AUPRC|Accuracy|F-measure|Utility
0.8375058670720663|0.11303148394278746|0.8524244193789634|0.1279738482959017|0.3975380022895565
AUROC|AUPRC|Accuracy|F-measure|Utility
0.8254139169520364|0.11574276372678192|0.8488810609731399|0.1298731972307102|0.40036837252189955
AUROC|AUPRC|Accuracy|F-measure|Utility
0.8201808948146411|0.30422749865671656|0.8346268656716418|0.2613333333333333|0.49965947786606124
AUROC|AUPRC|Accuracy|F-measure|Utility
0.9633978563429851|0.610256529679259|0.9344951923076923|0.23776223776223776|0.7652094717668488
AUROC|AUPRC|Accuracy|F-measure|Utility
0.965941449368101|0.613233714797715|0.9381009615384616|0.24817518248175183|0.7750455373406193
AUROC|AUPRC|Accuracy|F-measure|Utility
0.9495440729483283|0.5722175012755829|0.9164663461538461|0.1871345029239766|0.6775956284153006
AUROC|AUPRC|Accuracy|F-measure|Utility
0.950407934730443|0.5899035631308063|0.9188701923076923|0.20118343195266272|0.7225865209471767
AUROC|AUPRC|Accuracy|F-measure|Utility
0.9737322028475442|0.6124846474497826|0.9453125|0.272|0.7947176684881603
